;31/03/2024;31/12/2023;30/09/2023;30/06/2023;31/03/2023;31/12/2022;30/09/2022;30/06/2022;31/03/2022;31/12/2021;30/09/2021;30/06/2021;31/03/2021;31/12/2020;30/09/2020;30/06/2020;31/03/2020
15 a 90 dias;5,00%;4,10%;4,20%;4,30%;4,40%;3,70%;4,20%;3,70%;3,70%;2,60%;2,30%;2,20%;2,40%;1,30%;1,20%;2,20%;3,40%
90+dias;6,30%;6,10%;6,10%;5,90%;5,50%;5,20%;4,70%;4,10%;3,50%;3,10%;3,20%;3,00%;3,00%;3,70%;5,20%;6,20%;5,00%
