Date,Open,High,Low,Close,Adj Close,Volume
2021-12-01,9.600000381469727,11.829999923706055,6.400000095367432,7.650000095367432,7.650000095367432,497743000
2022-03-01,7.690000057220459,8.475000381469727,3.259999990463257,3.809999942779541,3.809999942779541,1376337000
2022-06-01,3.8399999141693115,5.880000114440918,3.259999990463257,4.900000095367432,4.900000095367432,1757576400
2022-09-01,4.880000114440918,5.809999942779541,3.7899999618530273,4.449999809265137,4.449999809265137,1885474800
2022-12-01,4.420000076293945,5.53000020980835,3.390000104904175,5.039999961853027,5.039999961853027,1603028900
2023-03-01,4.989999771118164,7.090000152587891,4.130000114440918,6.739999771118164,6.739999771118164,1597646300
2023-06-01,6.650000095367432,8.289999961853027,6.610000133514404,6.849999904632568,6.849999904632568,1637134500
2023-09-01,7.0,8.869999885559082,6.670000076293945,8.140000343322754,8.140000343322754,1720251000
2023-12-01,8.140000343322754,11.229999542236328,8.0600004196167,11.079999923706055,11.079999923706055,1868901600
2024-03-01,11.1899995803833,12.494999885559082,10.430000305175781,11.880000114440918,11.880000114440918,1521067000
2024-06-01,11.885000228881836,13.59000015258789,11.265000343322754,13.40999984741211,13.40999984741211,829356300
2024-07-12,13.319999694824219,13.59000015258789,13.260000228881836,13.40999984741211,13.40999984741211,23273742
